Title,IMDb,imdb
Too Hot to Handle,6.4,64
AJ and the Queen,6.2,62
Are You The One?,6.9,69
Little Things,7.3,73
Still Game,6.4,64
Transformers: Prime,6.9,69
Henry Danger,7,70
Tidying Up with Marie Kondo,6.4,64
Nightflyers,7.3,73
Love 101,6.4,64
Car Masters: Rust to Riches,6.6,66
WHAT / IF,6.4,64
Total Drama Island,7.1,71
Roman Empire,7.6,76
Beyond Evil,6,60
Deadwind,7.2,72
People Just Do Nothing,6.7,67
B: The Beginning,6.6,66
Somebody Feed Phil,6.4,64
Girl from Nowhere,6.7,67
Cocaine Coast,6.8,68
The Liberator,6.7,67
The Irregular at Magic High School,5.8,58
Norm Macdonald Has a Show,7.6,76
Hap and Leonard,6.4,64
Dark Desire,6.6,66
Seis Manos,8.3,83
Control Z,8.2,82
Kengan Ashura,7.4,74
Black Money Love,7.4,74
Dave Chappelle,6.8,68
The House of Flowers,6.2,62
Fatma,6.7,67
America's Next Top Model,7.2,72
Tribes of Europa,6.7,67
Grand Army,6.3,63
Somos.,7.3,73
The Great Heist,7.2,72
The One,6.8,68
Carmen Sandiego,8.1,81
The Chef Show,6.7,67
Traitors,6.4,64
Wet Hot American Summer: Ten Years Later,7.2,72
The Neighbor,7.1,71
Salt Fat Acid Heat,6.1,61
Billy on the Street,5.8,58
October Faction,6.2,62
Start-Up,6.4,64
Night on Earth,6.5,65
DOTA: Dragon's Blood,6.1,61
The Break,7.3,73
The Letter for the King,5.7,57
Osmosis,6.8,68
Another Life,6.4,64
Ju-On: Origins,8.2,82
Diagnosis,6.8,68
Zone Blanche,7.5,75
The Eddy,6.7,67
Magi,7.7,77
Elite Short Stories: Guzmán Caye Rebe,7.4,74
Memories of the Alhambra,8,80
Pacific Rim: The Black,5.8,58
V Wars,7.1,71
The Windsors,5.4,54
The Sons of Sam: A Descent Into Darkness,6.8,68
Sunderland 'Til I Die,6.6,66
Rebellion,6.4,64
The Pharmacist,5.8,58
The A List,6.6,66
Tales of the City,6.8,68
Disjointed,7.3,73
Medical Police,6.8,68
Gentefied,5.8,58
Wanderlust,6.3,63
Murder Among the Mormons,6.8,68
Home for Christmas,7.4,74
Paradise PD,6.8,68
The Bachelorette,6.1,61
Cold Case Files,6.3,63
Little Witch Academia,6.6,66
El marginal,6.4,64
Teasing Master Takagi-san,6.2,62
Kakegurui,7.8,78
Attenborough's Life in Colour,5.7,57
Mortel,7.5,75
Kath & Kim,6.4,64
Charité,6.6,66
Hoarders,7.6,76
Unsolved: The Murders of Tupac and The Notorious B.I.G.,7.2,72
My Next Guest Needs No Introduction With David Letterman,8,80
The Repair Shop,6.6,66
Record of Ragnarok,7.1,71
White Lines,6.3,63
A Korean Odyssey,6.5,65
Snabba Cash,5.8,58
Luis Miguel: The Series,7.2,72
Black Space,8.1,81
"Love, Chunibyo & Other Delusions",8.2,82
Kabaneri of the Iron Fortress,5.8,58
"Sister, Sister",6.1,61
Greenhouse Academy,5.8,58
Mr. Iglesias,6.8,68
Paranoid,7,70
Hip Hop Evolution,7.1,71
The Game,6,60
Love on the Spectrum,5.9,59
Greenleaf,7,70
Naomi Osaka,7.4,74
Oh My Ghost,5.8,58
The Final Table,7.3,73
Life Sentence,5.4,54
Penguin Town,7.5,75
Dogs of Berlin,6.8,68
Yasuke,6.5,65
Alma Matters: Inside the IIT Dream,7,70
Playing with Fire,6.8,68
"Hello, My Twenties!",6.1,61
Sam & Cat,6.6,66
Girls from Ipanema,6.6,66
Elite Short Stories: Omar Ander Alexis,6.8,68
MEGALOBOX,6.5,65
High on the Hog: How African American Cuisine Transformed America,6.1,61
So Not Worth It,6.5,65
K-ON!,6.5,65
The Family,6.4,64
Challenger: The Final Flight,5.9,59
Sexify,6.3,63
The Good Cop,7.4,74
The Uncanny Counter,6,60
Law School,6.5,65
This is a Robbery: The World's Biggest Art Heist,5.4,54
The English Game,6.1,61
Chambers,7.6,76
Selena: The Series,8.3,83
BAKI,6.2,62
Cells at Work!,5.6,56
Reckoning,6.8,68
The Mole,7.6,76
The Ripper,6.7,67
Queen Sono,6.3,63
WWII in HD,6.7,67
The Parisian Agency: Exclusive Properties,6.8,68
La cocinera de Castamar,6.1,61
I Am a Killer,6.9,69
W1A,6.6,66
One of Us,5.6,56
Cuckoo,8.5,85
March Comes in Like a Lion,7.1,71
Börü,6.1,61
The Mess You Leave Behind,6.5,65
Elize Matsunaga: Once Upon a Crime,5.4,54
Invisible City,7.5,75
High Seas,5.9,59
Man Down,6.3,63
Hitler's Circle of Evil,7.2,72
Degrassi: Next Class,7.4,74
The Forest,6.9,69
The Woods,6.7,67
This Is Pop,5.7,57
Godzilla Singular Point,6.8,68
My Babysitter's a Vampire,5.9,59
Mad for Each Other,6.5,65
Typewriter,7.1,71
Sonic X,6.8,68
Monthly Girls' Nozaki-kun,6.2,62
History of Swear Words,7.1,71
Dolly Parton's Heartstrings,6.3,63
Arthdal Chronicles,5,50
Last Chance U: Basketball,7,70
The Next Step,6,60
The Bride of the Water God,6.3,63
Midnight Diner: Tokyo Stories,7.7,77
Immigration Nation,6.8,68
My Unorthodox Life,6.2,62
The Barrier,6.2,62
Cannon Busters,7,70
Something in the Rain,7.7,77
Haters Back Off,6.2,62
Young Wallander,6.3,63
Toy Boy,5.8,58
Aunty Donna's Big Ol' House of Fun,6.3,63
Jack Whitehall: Travels with My Father,7.1,71
Sofia the First,6,60
"Money, Explained",6.2,62
